ClavePlan|VersionPlan|ClaveAsignatura|ClaveProfesor|ClaveGrupo|Grupo|DiaSesion|HoraInicio|HoraFin|Edificio|Salon
7221|2|10160|89824|289|LIS|Lunes|17:30|19:00|Edificio H|H3
7221|2|10160|89824|289|LIS|Martes|17:30|19:00|Edificio H|H3
7221|2|10160|89824|289|LIS|Jueves|17:30|19:00|Edificio H|H3
7221|2|10676|89767|289|LIS|Sábado|09:00|10:30|Edificio A|Cubículo
7221|2|11039|121400|289|LIS|Lunes|13:00|14:30|Edificio B|CC3
7221|2|11039|121400|289|LIS|Miércoles|13:00|14:30|Edificio B|CC3
7221|2|11039|121400|289|LIS|Viernes|13:00|14:30|Edificio H|H1
7221|2|11046|180932|289|LIS|Lunes|13:30|15:30|Edificio H|H3
7221|2|11046|180932|289|LIS|Miércoles|13:30|15:30|Edificio H|H3
7221|2|33562|89803|289|LIS|Martes|07:30|09:00|Edificio B|CC4
7221|2|33562|89803|289|LIS|Miércoles|07:30|09:00|Edificio B|CC4
7221|2|34800|89769|289|LIS|Martes|18:00|19:30|Edificio LAB|Redes
7221|2|34800|89769|289|LIS|Jueves|18:00|19:30|Edificio LAB|Redes
7221|2|34800|89769|289|LIS|Viernes|18:00|19:30|Edificio LAB|Redes
7221|2|35836|181827|680|LISOPT|Martes|19:00|21:00|Edificio B|CC8
7221|2|35836|181827|680|LISOPT|Jueves|19:00|21:00|Edificio B|CC8
7221|2|35837|181082|680|LISOPT|Lunes|19:00|21:00|Edificio B|CC8
7221|2|35837|181082|680|LISOPT|Miércoles|19:00|21:00|Edificio B|CC8
7221|2|35838|181528|680|LISOPT|Miércoles|16:30|18:30|Edificio B|CC7
7221|2|35838|181528|680|LISOPT|Viernes|16:30|18:30|Edificio B|CC7
7221|2|35932|89818|680|LISOPT|Sábado|08:00|09:00|Edificio A|Cubículo
7232|4|10598|131554|290|LIC|Martes|16:30|18:00|Edificio B|CC3
7232|4|10598|131554|290|LIC|Jueves|16:30|18:00|Edificio B|CC3
7232|4|10598|131554|290|LIC|Miércoles|18:30|20:00|Edificio B|CC1
7232|4|10663|89762|288|LCC|Martes|13:00|14:30|Edificio B|CC4
7232|4|10663|89762|288|LCC|Miércoles|13:00|14:30|Edificio B|CC4
7232|4|10663|89762|288|LCC|Jueves|13:30|15:00|Edificio B|CC4
7232|4|10665|89764|288|LCC|Lunes|13:00|14:30|Edificio B|CC5
7232|4|10665|89764|288|LCC|Miércoles|13:00|14:30|Edificio B|CC5
7232|4|10665|89764|288|LCC|Viernes|14:30|16:00|Edificio B|CC5
7232|4|10667|89768|288|LCC|Martes|16:00|17:30|Edificio B|CC4
7232|4|10667|89768|288|LCC|Miércoles|14:30|16:00|Edificio B|CC4
7232|4|10667|89768|288|LCC|Viernes|14:30|16:00|Edificio B|CC4
